Tender Title,Description,Location,Opening Date,Closing Date,Tender Amount,Tender Link
Commissionerate Of Tribal Development Tender,"2 of 2021-22 - Providing Food Grain To Tribal Government Hostels And Residential Schools In Valsad District. 
submission Of Tender Fee (demand Draft)and Emd (demand Draft) Upto Dt.29/04/2021 18.00 P.m.through R.p.a.d Or Speedpost.","Valsad, Gujarat",07 Apr 2021,28 Apr 2021,₹ 2.7 Cr,https://bidassist.com/all-tenders/commissionerate-of-tribal-development/detail-cd16dd40-9561-4c4b-b2a0-1a8a38a15157?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Airports Authority Of India - AAI Tender,"13/2021 - Concession To Design, Fit-out, Finance, Develop, Market, Operate, Maintain And Manage The Food And Beverage Outlets At The Pune Airport","Pune, Maharashtra",21 Apr 2021,12 May 2021,₹ 71.6 Lac,https://bidassist.com/all-tenders/airports-authority-of-india/detail-d7e9fdb8-0a91-4bf7-8e22-5e2d17f7e953?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Municipal Administration Department Tender,"11/E1/2021 - Providing Of Cc Road From Anna Canteen Beside Vallepu Venkata Subbayya House No:6-968 To Varikuti Venkata Kotayya House Sc\5344, 15th Ward Of Dvs Nagar In Darsi Nagara Panchayat","Prakasam, Andhra Pradesh",26 Apr 2021,10 May 2021,₹ 15.3 Lac,https://bidassist.com/all-tenders/municipal-administration-department/detail-26d3de9d-9936-4680-ae7b-80ff0bc8e57a?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Social Welfare Department - SWD Tender,"SWD/2021-22/IND1477 - Procurement Of Food Items, Vegitables And Other Items To Dr.ambedkar Girl's Residential School, Raagigudda, Shimoga For The Year 2021-22.","Shivamogga, Karnataka",07 Apr 2021,05 May 2021,Refer Documents,https://bidassist.com/all-tenders/social-welfare-department/detail-44fb15a7-5e76-4793-8391-1b9fb056dab2?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Tezpur University Tender,"ET-NIQ-106-DT-09-04-21 - Solar Greenhouse Drying System Required For Aicte-rps (ner) Project Of Dr. Manuj Kr. Hazarika, Dept. Of Food Engineering Technology, Tezpur University","Sonitpur, Assam",09 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/tezpur-university/detail-195d33ad-d6f6-4ffa-af17-05ab11f55a96?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Bank Of India - BOI Tender,"226029 - Sale Of Property By Bank Of India, Asset Recovery Department-wardha V/s. M/s. Shree Sai Agro Food Product (property No. 2)","Chandrapur, Maharashtra",-,28 Apr 2021,₹ 2.7 Lac,https://bidassist.com/all-tenders/bank-of-india/detail-639aec35-0ca7-4e32-b545-dd7eaf7a7130?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Micro Small And Medium Enterprises - MSME Tender,"GEM/2021/B/1152473 - Goods Transport Service – Per Trip Based Service - Food Grains; Open Body Lcv Truck; 19 Ft Lcv,good","Sonitpur, Assam",01 Apr 2021,29 Apr 2021,₹ 67 Lac,https://bidassist.com/all-tenders/ministry-of-micro-small-and-medium-enterprises/detail-7892c805-2a87-4202-94e4-30b4f2ac6e65?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Airports Authority Of India - AAI Tender,"AAI/VZ/COMML/RFP-FOOD AND BEVERAGE/2021 - Rfp For Concession To Design, Fit-out, Finance, Develop, Market, Operate, Maintain And Manage The Food And Beverage Outlets At Visakhapatnam Airport","Visakhapatnam, Andhra Pradesh",17 Mar 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/airports-authority-of-india/detail-aac682ad-7406-4057-bf5d-94f9c95179ad?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Bank Of India - BOI Tender,"226028 - Sale Of Property By Bank Of India, Asset Recovery Department-wardha V/s. M/s. Shree Sai Agro Food Product (property No. 1)","Chandrapur, Maharashtra",-,28 Apr 2021,₹ 26.1 Lac,https://bidassist.com/all-tenders/bank-of-india/detail-f58b84de-9ea5-4ec8-991b-ad99a4c2a2db?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Micro Small And Medium Enterprises - MSME Tender,"GEM/2021/B/1152272 - Goods Transport Service – Per Trip Based Service - Food Grains; Open Body Lcv Truck; 19 Ft Lcv,good","Sonitpur, Assam",01 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-micro-small-and-medium-enterprises/detail-8bd9a9f7-50df-4b9c-b30a-67e44592f912?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Uttar Pradesh State Warehousing Corporation - UPSWC Tender,VNS-150019082019-12 FOR HTC - E-tender For Appointment Of Loading/unloading/handling Contractor A T U.p State Warehousing Corporation Depot/godowns Etc. At Chitbadagaon For Food Grains,"Ballia, Uttar Pradesh",27 Dec 2019,29 Apr 2021,₹ 2.3 Cr,https://bidassist.com/all-tenders/uttar-pradesh-state-warehousing-corporation/detail-13000915-7f5d-4f2f-9bf4-736062c5d663?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Defence - MOD Tender,GEM/2021/B/1189604 - Goods Transport Service – Per Mt Per Km Based Service - Food Grains; Open Body Taurus; 27 Ft Truck,"Lucknow, Uttar Pradesh",25 Apr 2021,06 May 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-defence/detail-bfd86e4d-39b5-4cf2-a228-d521e7424014?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Odisha State Civil Supplies Corporation Limited - OSCSC Tender,"1377 Dt. 07.04.2021 - Selection And Appointment Of Level-i Contractor For Transportation Of Wheat From Food Storage Depot (fsd), Fci To Rice Receiving Centre (rrc)","Sundergarh, Odisha",08 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/odisha-state-civil-supplies-corporation-limited/detail-63b654b5-467f-432c-834b-82724b5d15d8?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Women And Child Development - DWCD Tender,CDPO/CHICH/FDTNS/2021-22 - Transportation Of Food Grains From Cdpo's Office Godown Chincholi Taluka To 353 Anganawadi Centers And Fci Godown Kalaburagi To Cdpo Godown Chincholi,"Kalaburagi, Karnataka",19 Apr 2021,05 May 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-women-and-child-development/detail-63bf789a-e7b1-41f7-9208-adb04d6b11fd?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Canara Bank Tender,"226404 - Sale Of Property By Canara Bank, Trichy Railway Junction Branch, Regional Office-trichy V/s. M/s. Trichy Food Park Private Limited","Tiruchirappalli, Tamil Nadu",-,17 May 2021,₹ 3.1 Cr,https://bidassist.com/all-tenders/canara-bank/detail-7c146907-4346-47d0-8f6a-b9484973e8e9?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Odisha State Civil Supplies Corporation Limited - OSCSC Tender,"851- 16.04.2021 - Selection And Appointment Of Level-1 Transport Contractor For Transportation Of Wheat From Food Storage Depot(fsd), Fci To Rice Receiving Center(rrc)","Mayurbhanj, Odisha",22 Apr 2021,06 May 2021,Refer Documents,https://bidassist.com/all-tenders/odisha-state-civil-supplies-corporation-limited/detail-17cb242f-c4d4-402a-abca-f02bc3471170?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Andhra Pradesh State Co Operative Marketing Federation Limited Tender,APMARKFED/CD/2021/01/006 - Request For Proposal For Empanelment And Appointment Of Agency To Supply Pre-printed Packing Material Of Consumer Food Products For Ap Markfed Consumer Division,Andhra Pradesh,22 Apr 2021,12 May 2021,Refer Documents,https://bidassist.com/all-tenders/andhra-pradesh-state-co-operative-marketing-federation-limited/detail-1ef4f6d9-7a79-4ae9-80c2-fa8e24ef2454?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Military Engineer Services - MES Tender,GE(NW)KOCHI/8478/E8 - Addn Altn And Special Repairs To Wet Canteen Behind P 172 Parking Shed For Stff At Nd School And Certain Snctioned Works Of Age B R Ii And Age E M Under Ge Nw Kochi,"Ernakulam, Kerala",23 Apr 2021,15 May 2021,₹ 46.3 Lac,https://bidassist.com/all-tenders/military-engineer-services/detail-e9f1547a-bcbd-41ec-8752-87327a152d95?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Central Coalfields Limited - CCL Tender,"GM(PPR)/Civil/21-22/89-103 - Catering Services Including Preparation Of Intercontinental Food, Operation And Maintenance Of Swimming Pool And Annual Cleaning Of Recreation Center At Sangam Vihar Bachra Under Gm Unit Piparwar Area.","Chatra, Jharkhand",23 Apr 2021,11 May 2021,₹ 75.2 Lac,https://bidassist.com/all-tenders/central-coalfields-limited/detail-2cba745c-b814-4df4-94ac-2cabad22fd42?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Institute Of Technology Patna - IITP Tender,IITP/IWD/AZ/01/2021 - Strengthening Of Storm Water Drain At Roundabout And Near Gate No. 01 And Water Recharger Pits Near Cycle Parking Block - 09 And Food Court Of Academic Zone Of Iit Patna Campus.,"Patna, Bihar",23 Apr 2021,10 May 2021,₹ 2.7 Lac,https://bidassist.com/all-tenders/indian-institute-of-technology-patna/detail-217d840b-765c-4502-8843-dcb628bdf1a7?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Uttar Pradesh State Warehousing Corporation - UPSWC Tender,VNS-150019082019-13 FOR HTC - E-tender For Appointment Of Loading/unloading/handling Contractor A T U.p State Warehousing Corporation Depot/godowns Etc. At Peg Mubarakpur Kalan For Food Grains,"Ballia, Uttar Pradesh",27 Dec 2019,29 Apr 2021,₹ 2.9 Cr,https://bidassist.com/all-tenders/uttar-pradesh-state-warehousing-corporation/detail-99dd0860-7fd2-4f18-bf62-1b6f25657d9e?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Gujarat Police Tender,"2021-2022 - Purchase Of Food Product For Horse / Camel At S.p. Office, West Kachchh-bhuj.. 
last Date Of Submission Of Hard Copy 26.04.2021 Upto 16.00","Kachchh, Gujarat",17 Apr 2021,10 May 2021,Refer Documents,https://bidassist.com/all-tenders/gujarat-police/detail-5e6a10cc-baa2-4109-9a6e-57a8970577fa?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Greater Hyderabad Municipal Corporation - GHMC Tender,"9/EE/CIR-18/KZ/GHMC/2021-22,Dt: 23-04-2021 (Item No.3) - Constructions Of Sw Drain From Ms College To Royal Poultry And Sea Food, Tolichowki Junction, Ward-94, Shaikpet, Circle-18, (kz), Ghmc. (item No.3) 2nd Recall",Telangana,26 Apr 2021,30 Apr 2021,₹ 41.6 Lac,https://bidassist.com/all-tenders/greater-hyderabad-municipal-corporation/detail-15ce6eac-9a35-4799-ab8a-baa8cbc9cd86?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Andhra Pradesh State Civil Supplies Corporation Limited - APSCSCL Tender,"Short Tender Notification No.PDS.3/18 (06)/2755/2021 dt:23.04.2021 - Appointment Of Stage I - Transport Contractor For East Godavari District For Transportation Of Food Grains, Pulses Or Any Other Commodity For The Period Up To 31.03.2023",Andhra Pradesh,24 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/andhra-pradesh-state-civil-supplies-corporation-limited/detail-cdfeb1d2-8880-4d0f-8fe9-c0c4f82dadf4?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Women And Child Development - DWCD Tender,"DWCD/2021-22/IND1498 - Supply Of Food Items To Govt.school For Blind Children,govt.school For Deaf Children, Govt.state Home For Women,govt.chidren Home For Boys & Girls,govt.observation Home,mysuru District","Mysuru, Karnataka",17 Apr 2021,17 May 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-women-and-child-development/detail-d4be77cc-1639-4f61-8392-e0b8c66bdf60?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Central Railway - CR Tender,"PA-C-CP-VENDING-21 - Vending Of Various Miscellaneous Items In Trains (excluding Food Items & Pdw) Betweenmvl To Patas And Mvl- Kop Section Of Pune Division For The Period Of 03 Years.","Pune, Maharashtra",09 Apr 2021,03 May 2021,₹ 7.9 Lac,https://bidassist.com/all-tenders/central-railway/detail-9b519fbc-0327-48f0-bc27-437cedd4f29f?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Central Warehousing Corporation - CWC Tender,"Cwc/ro-patna/buss./land survey/2021-22 - Tender Invites Expression Of Interest From Interested Individual/ Private / Govt./ Semi Government/ Consortium / Other Entities To Provide Readily Available Godown For Storage Of Food grains On Long Term Rental/ Lease Basis
","Patna, Bihar",16 Apr 2021,15 May 2021,Refer Documents,https://bidassist.com/all-tenders/central-warehousing-corporation/detail-553a664a-ce83-4c9f-9c8e-96691f2d2f84?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Central Railway - CR Tender,"PA-MECH-RR-PA-2020 - Description:- Facility Management For Running Staff For Running Room Pune (approx Area Is 54000 Sq Ft Detailsas Per Scope Of Work).","Pune, Maharashtra",08 Apr 2021,30 Apr 2021,₹ 10.2 Cr,https://bidassist.com/all-tenders/central-railway/detail-3db0cf1f-b587-4167-a2cf-3ba198bf1816?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
South East Central Railway - SECR Tender,"DRM-ENGG-BSP-T-05-21-22 - 1)extension Zonal Canteen And Provision Of Car Shed For Parking Of 4 Wheelers Of The Non-gazetted Staff,2) Construction Of Porch, Office And Other Misc. Repair Work For Pda Office At Construction Office, 3) Construction Of Jco Mess, 4) 20 Beds Ladies Rpf Barrack And 5) Provision Of Record Room In The Office Of Sr.dpo/bilaspur Including Electrification And Miscellaneous Work At Bilaspur Railway Settlement Under The Jurisdiction Of Sr.den/settlement/bilaspur.","Bilaspur, Chhattisgarh",13 Apr 2021,10 May 2021,₹ 1.6 Cr,https://bidassist.com/all-tenders/south-east-central-railway/detail-24fc00b0-183f-457a-990b-d908dbbc7ca8?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
West Central Railway - WCR Tender,"DRM-W-JBP-40-2021 - 'mechanized Upkeep Of Drm Office Building (ground Floor, Ist Floor & 2nd Floor) Including Officer's Chamber, Meeting Hall, P.f. Section, Store Building Including Corridor, Staff Canteen, Scout & Guide Den, Axen(bridge) Office Campus, Stair Cases, Toilets & Urinals, And Other Buildings In Drm Office Campus Etc At Jabalpur For Two Years.'","Jabalpur, Madhya Pradesh",09 Apr 2021,30 Apr 2021,₹ 26.6 Lac,https://bidassist.com/all-tenders/west-central-railway/detail-4a5cf4c3-444d-4d5b-8b66-37ae2f813899?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Central Public Works Department - CPWD Tender,84 2020 21 EE Kol I Kolkata 2nd Call-01 - A R And M O Non Residential Building At C P W D Nizam Palace Campus Kolkata Dg 2020 21 And 2021 22 Sh Providing Caretaking And House Keeping I C Running Of Canteen Of Central Govt Holiday Home Comprising Of 56 No Rooms I E 26 Double Bedrooms 6 Suite Rooms And 24 Four Two In One Bedded Rooms At Nizam Palace Cpwd Kolkata,"Kolkata, West Bengal",16 Apr 2021,30 Apr 2021,₹ 60.1 Lac,https://bidassist.com/all-tenders/central-public-works-department/detail-a0b30da0-07ab-4233-9f9d-e7b22c21cb58?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Public Works Department - PWD Tender,"E-Tender Notice No. 02/EE/AMT/2021-22 - Estimate No. 520 /ee /ytl /2020_21, Providing Electrical Installation, Lan Van, D.g. Set, Water Pump Set, Solar Power, Fire Fighting And Alarm System To Proposed Office For Food And Drugs Deppt. At Yavatmal.","Amravati, Maharashtra",12 Apr 2021,06 May 2021,Refer Documents,https://bidassist.com/all-tenders/public-works-department/detail-9dc077e5-60b3-4e90-a4f4-00d3138d6a11?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Defence - MOD Tender,GEM/2021/B/1191613 - Approx. Weight Of Goods In Mt/kl : 9000,"Bengaluru, Karnataka",27 Apr 2021,10 May 2021,₹ 4.5 Cr,https://bidassist.com/all-tenders/ministry-of-defence/detail-151b7224-df50-46fe-bf6f-3cb72618da1f?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Shri Mata Vaishno Devi Shrine Board - SMVDSB Tender,"CO/Pur/NE/368/397 dt 12.04.2021 - E-tenders Under Two Bids System Are Invited For The Supply Of Spices (masala Items) Without Onion And Garlic Alongwith Sample Of Each Item, As Per Standards As Per Food Safety Act 2006, To Smvdsb For A Period Of 1 Yr For Non Engg. Store Banganga.","Udhampur, Jammu & Kashmir",12 Apr 2021,03 May 2021,Refer Documents,https://bidassist.com/all-tenders/shri-mata-vaishno-devi-shrine-board/detail-6b63530a-97e5-4f7d-9d2f-cff50143c49f?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Urban Local Bodies - DULB Tender,EE-I/MCG/2021/11505 dt. 23.04.2021 - Renovation Of Existing Building Plumbing Work Electrification Work And Civil Work New Construction Food Pandal Main Gate Boundary Wall And Open Kitchen Of Community Centre Sector 10 Ward No 13 Zone I Gurugram Under Mcg Area.,"Gurugram, Haryana",23 Apr 2021,10 May 2021,₹ 93 Lac,https://bidassist.com/all-tenders/directorate-of-urban-local-bodies/detail-9f334972-d265-43ad-8fc5-acc56ccd083b?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Public Works Department - PWD Tender,"79/EE (E)/ PWD NE and Shah. Elect. Divn/20-21 - Rmo Vrs E And M Services Installed At Iti, Dsssb Bldg., Diet Bldg., Vrs Police Stn, Employment Exchange, Jjb, Vrec Centre, Food And Supply Office, Delhi. (sh- Replacement Of P/sets And Water Cooler With Inbuilt R.o At Vrs Location Under Pwd M-2533)","Delhi, Delhi",24 Mar 2021,03 May 2021,₹ 9.7 Lac,https://bidassist.com/all-tenders/public-works-department/detail-204b14d5-7b5a-4d60-9525-78f3139eece9?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
South Central Railway - SCR Tender,"COML-GTL-NFR-2021-0001 - Coach Restaurant Gtl - Provision Of Hygienic Food, At Coach Restaurant In Circulating Area,guntakal Railway Station, At Competitive Rates With Local Market Duly Keeping The Coachrestaurant Open Round The Clock And All 365 Days Of The Year.","Anantapur, Andhra Pradesh",22 Apr 2021,17 May 2021,₹ 41.4 Lac,https://bidassist.com/all-tenders/south-central-railway/detail-e8f8c3fe-e9f6-4701-81a4-2fec0186a1ef?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
South East Central Railway - SECR Tender,"G27-MFC-Gondia-Tender-3 - Open Tender For Award Of Contract For Operation And Management Of Multi-functional-complex At Gondia Station For Providing Amenities Like Restaurant, Food Stall, Ice Cream Parlour, Book Stall, Medical Shop, Beauty Parlour, Multipurpose Shop Etc, Licensing On Sole Right Basis  For  A Period Of  Twelve (12) Years.","Nagpur, Maharashtra",08 Apr 2021,13 May 2021,₹ 18.6 Lac,https://bidassist.com/all-tenders/south-east-central-railway/detail-a5e8aa32-724b-43d8-ba3e-d8914a46b054?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Central Railway - CR Tender,"PA-MECH-GPR-RR-2020 - Description:- Facility Management For Running Room At Ghorpuri (approx Area Is 2069.407 Sq Mt Details As Perscope Of Work).","Pune, Maharashtra",12 Apr 2021,04 May 2021,₹ 2.5 Cr,https://bidassist.com/all-tenders/central-railway/detail-3812e3b5-6daa-4316-9b9a-d6f06d4fde43?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Housing And Urban Development Tender,"GMADA/DE (PH-1)/2021/1108-1117 Date 26.04.2021 - Sanitation Work On Road Dividing Sector 86/87, 97/98, 106/105, 85/86, 98/99, 104/105, 80/81, 84/85, 99/100, 99/104, 100/104, 103/104, Road From Cremation Ground To Ballongi And Food Court Road, Sector 62 At S.a.s.nagar Re Invited","Mohali, Punjab",27 Apr 2021,07 May 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-housing-and-urban-development/detail-412e3cd5-461b-4222-9238-c414c8550d3c?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Bhabha Atomic Research Centre - BARC Tender,"2021-0685 - Fabrication, Supply, Installation And Operation Demonstration Of Barc Technology-based Off-line Domestic Arsenic/iron Water Purifiers (24 Lpd, Moc: Food Grade Plastic/ss 304)in Individual Affected Households Of Four Villages Of Harail And Harpursaidbad Gram Panchayat, Dist. Samastipur (bihar) Including 1-year O&m Support With Quarterly Performance Monitoring/ Quality Test Report. Quantity:1000 Units. {mechanical And Industrial} [minor Fabrication - Barc/cheg/dmtd/f&r- 04 /2021/opa-47956]","Samastipur, Bihar",22 Mar 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/bhabha-atomic-research-centre/detail-6c2101c3-20fb-4792-b7fd-e5219f817c55?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ratnagiri Gas and Power Pvt Ltd Contracts and Material Department Tender,211300009 - Running And Maintenance Of Industrial Canteen And Four Numbers Of Pantries,"Ratnagiri, Maharashtra",23 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/ratnagiri-gas-and-power-pvt-ltd-contracts-and-material-department/detail-0ac9a560-2c32-499d-8bc9-a469cdad14e2?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Food Corporation Of India - FCI Tender,SC 13(11)/HTC/BSC ZNPL/KNL/2021-23/CONTS - Handling Of Food Grains And Internal Transportation Of Food Grains At Bsc Zangalapalli,"Anantapur, Andhra Pradesh",16 Apr 2021,06 May 2021,₹ 9.1 Cr,https://bidassist.com/all-tenders/food-corporation-of-india/detail-9dc005ff-752e-46f5-935a-e08dab82e30a?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Union Bank Of India - UBI Tender,SSD/ANNEX-HYD/ 03 /2021 - Rfp For Appointment Of Catering Contractor For Staff And Executive Canteen At Hyderabad Buildings,"Hyderabad, Telangana",09 Apr 2021,10 May 2021,₹ 54 Lac,https://bidassist.com/all-tenders/union-bank-of-india/detail-25f3f985-beb1-465d-b0cc-d43035fd43a9?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Space Research Organisation - ISRO Tender,"VSSC/CMD-CIVIL/CS/5814/ 07475 /21-22-1 - Cleaning Of Septic Tank And Reconditioning Of Dispersion Trenches Of Canteen At Rff Central Area ,vssc.","Thiruvananthapuram, Kerala",22 Apr 2021,04 May 2021,₹ 1.9 Lac,https://bidassist.com/all-tenders/indian-space-research-organisation/detail-58941c23-832b-45d6-b790-b614957af968?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Food Corporation Of India - FCI Tender,FCI/DO/RTK/CONT/RTCJIND/2021 - Transportation Of Food Grain And Allied Materials,"Jind, Haryana",24 Apr 2021,03 May 2021,₹ 5 Lac,https://bidassist.com/all-tenders/food-corporation-of-india/detail-e272e0b7-2bde-4989-b689-17f84a595235?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Food Corporation Of India - FCI Tender,SC 15(3)/ITC/BSC GDV/VJA/20-22/CONTS - Internal Transportation Of Food Grains At Bsc Gudivada,"Krishna, Andhra Pradesh",19 Apr 2021,10 May 2021,₹ 85 Lac,https://bidassist.com/all-tenders/food-corporation-of-india/detail-e85167ea-8060-47d3-af9a-25988845c995?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Metal Scrap Trade Corporation Limited - MSTC Tender,"MSTC/RPR/204 CoBRA BN /9/KARANPUR /21-22/3088 - Auction Sale Of  Lot No : 1 Lot Name : Regimental Stores Waf Canteen Gia Gia Nwg Spl Gia Gos Mess Std Fund Etc ,  Lot No : 2 Lot Name : Burnt Oil ,","Bastar, Chhattisgarh",24 Apr 2021,05 May 2021,Refer Documents,https://bidassist.com/all-tenders/metal-scrap-trade-corporation-limited/detail-a4113194-a733-441b-9000-bb9407068567?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Forest Department Tender,A1/BUD/CR-20/ E- TENDER/2020-21/CALL-3 - For Operating A Refreshment Facility To Tourist Visited To Ranganathittu Bird Sanctuary On Rental Basis In A Existing Canteen Building For The Year 2021-22 & 2022-23 For 2 Years,"Mandya, Karnataka",19 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/forest-department/detail-130e04d1-1f84-4eee-9d4c-331a779e4b16?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Oil Corporation Limited - IOCL Tender,DSO/HR/LT/HK/2020-21 - Providing Housekeeping Services At Delhi State Office 2nd Floor 3rd Floor Including Canteen Area At 1st Floor World Trade Centre New Delhi,"Delhi, Delhi",26 Apr 2021,04 May 2021,Refer Documents,https://bidassist.com/all-tenders/indian-oil-corporation-limited/detail-706e6c64-148c-46b2-ab70-d096050ac89b?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Public Works Department - PWD Tender,"Nit-03 e-tend/Cd-ISt/931-47 dtd.20/04/2021 - (a) Construction Of Compound Walling, Double Storeyed Canteen, Chowkidar Quarter And Waiting Cum Guard Room At Womenscollege Batpora , (b) Construction Of Structure For Gymnasium (c) Construction Of Sports Mini Hall.","Srinagar, Jammu & Kashmir",20 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/public-works-department/detail-1194f427-bc0a-4aae-898c-de6db90bb9d0?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Metal Scrap Trade Corporation Limited - MSTC Tender,"MSTC/WRO/GC CRPF NAGPUR/1/NAGPUR/21-22/2712 - Auction Sale Of  Lot No : 1 Lot Name : Eqpt Store, Mochi Tool, Barber Tool, Etc ,  Lot No : 2 Lot Name : Burning Oil ,  Lot No : 3 Lot Name : Gia Store, B - Waf Store, Wet Canteen, Etc ,","Nagpur, Maharashtra",21 Apr 2021,04 May 2021,Refer Documents,https://bidassist.com/all-tenders/metal-scrap-trade-corporation-limited/detail-6ac82098-2ac6-490f-8d21-7cd15f2a4319?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
